H	Env	GY_BLUE	GM_BLUE	NE_BLUE
H_161	2007_CAMPO_MOURAO	3.31999996981924	20.5911735543408	33.4290856608736
H_162	2007_CAMPO_MOURAO	3.65249998633897	26.5558709701691	31.6046207039583
H_163	2007_CAMPO_MOURAO	4.51350007091088	29.0058869624935	37.5656129166061
H_164	2007_CAMPO_MOURAO	3.18049996405124	27.0985262603361	34.2145428304368
H_165	2007_CAMPO_MOURAO	3.57749998714851	24.9558709701691	28.3776752154233
H_166	2007_CAMPO_MOURAO	3.92149996526556	22.1823487079141	35.1046207039583
H_167	2007_CAMPO_MOURAO	4.08200004146377	27.0397014139093	35.026605129254
H_168	2007_CAMPO_MOURAO	3.03150005360691	32.5102905899285	33.8581713217473
H_169	2007_CAMPO_MOURAO	2.98250001889777	28.4985214626387	33.0390077873522
H_170	2007_CAMPO_MOURAO	3.66300005183604	30.0249944026864	34.0922180458602
H_171	2007_CAMPO_MOURAO	3.24349996503787	26.9014673427342	31.1046207039583
H_172	2007_CAMPO_MOURAO	4.5829999815576	17.8161647585624	33.780155747043
H_173	2007_CAMPO_MOURAO	3.98749998411272	28.7823599025412	33.0780155747043
H_174	2007_CAMPO_MOURAO	3.81349995926988	20.2088200487294	32.8900778735215
H_175	2007_CAMPO_MOURAO	3.93549999741958	14.497055719137	31.007101235578
H_176	2007_CAMPO_MOURAO	4.19499997553663	15.723533456882	35.7340467241129
H_177	2007_CAMPO_MOURAO	3.75350005173484	14.5808861628773	38.1560311494086
H_178	2007_CAMPO_MOURAO	3.71849994978305	22.8397046123742	35.6028208909006
H_179	2007_CAMPO_MOURAO	4.38200006387798	13.2514753388964	35.4875973419019
H_180	2007_CAMPO_MOURAO	4.05050002916884	13.7397062116067	33.6684338075068
H_181	2007_CAMPO_MOURAO	3.59100006210711	21.4661791516544	32.2216440660148
H_182	2007_CAMPO_MOURAO	4.18499997530894	14.7926520917021	34.7340467241129
